extraction,dataset,layer,treatment,random_mean,random_lo,random_hi,randfix_mean,randfix_lo,randfix_hi,shuffled_mean,shuffled_lo,shuffled_hi,floor_mean_bag,gain_over_floor
mean,S1_1P,26,0.8875,0.5001,0.403,0.6005,0.4957,0.3289,0.6712,0.4971,0.3831,0.6053,0.775,0.1125
mean,S1_1P,27,0.8415,0.5005,0.405,0.5915,0.5015,0.33,0.6545,0.4967,0.3878,0.5963,0.775,0.0665
mean,S1_3P,emb,0.8245,0.4983,0.4235,0.5915,0.5031,0.3777,0.639,0.499,0.3863,0.6113,0.8245,0.0
mean,S1_3P,0,0.839,0.5012,0.4037,0.5903,0.4948,0.338,0.6591,0.4975,0.3857,0.5988,0.8245,0.0145
mean,S1_3P,1,0.8225,0.4998,0.4122,0.6025,0.5034,0.3725,0.6453,0.498,0.3845,0.6035,0.8245,-0.002
mean,S1_3P,2,0.8315,0.5035,0.4077,0.584,0.4946,0.3675,0.6268,0.4998,0.388,0.606,0.8245,0.007
mean,S1_3P,3,0.828,0.5014,0.4105,0.5918,0.5024,0.3662,0.6326,0.4995,0.375,0.603,0.8245,0.0035
mean,S1_3P,4,0.836,0.4978,0.4127,0.586,0.4997,0.3712,0.6313,0.4998,0.3832,0.6023,0.8245,0.0115
mean,S1_3P,5,0.8385,0.4999,0.407,0.593,0.5018,0.3647,0.63,0.5016,0.3922,0.6015,0.8245,0.014
mean,S1_3P,6,0.8355,0.4986,0.4087,0.5848,0.4995,0.3702,0.63,0.5025,0.391,0.6008,0.8245,0.011
mean,S1_3P,7,0.835,0.5017,0.4074,0.5868,0.5058,0.365,0.6345,0.5017,0.392,0.6008,0.8245,0.0105
mean,S1_3P,8,0.8335,0.5031,0.4192,0.5973,0.5025,0.3632,0.642,0.5006,0.3877,0.602,0.8245,0.009
mean,S1_3P,9,0.8345,0.4965,0.4039,0.5905,0.4981,0.359,0.6416,0.501,0.3922,0.5963,0.8245,0.01
mean,S1_3P,10,0.834,0.5009,0.406,0.5919,0.503,0.349,0.6503,0.5007,0.395,0.6025,0.8245,0.0095
mean,S1_3P,11,0.8375,0.4984,0.4115,0.5895,0.4999,0.3495,0.6368,0.5006,0.3932,0.5956,0.8245,0.013
mean,S1_3P,12,0.8335,0.4975,0.4057,0.5825,0.5039,0.3562,0.6443,0.5003,0.3882,0.5963,0.8245,0.009
mean,S1_3P,13,0.8315,0.5041,0.4182,0.5973,0.4915,0.3597,0.641,0.5001,0.3942,0.5991,0.8245,0.007
mean,S1_3P,14,0.834,0.5008,0.4042,0.5943,0.4944,0.3485,0.6395,0.4996,0.3879,0.5995,0.8245,0.0095
mean,S1_3P,15,0.837,0.5,0.4052,0.6043,0.4994,0.3487,0.6501,0.4997,0.3875,0.6027,0.8245,0.0125
mean,S1_3P,16,0.837,0.4994,0.4072,0.5936,0.5024,0.3502,0.6693,0.4999,0.385,0.6007,0.8245,0.0125
mean,S1_3P,17,0.832,0.5007,0.4077,0.5855,0.5002,0.3577,0.6453,0.4993,0.3807,0.5986,0.8245,0.0075
mean,S1_3P,18,0.8355,0.4998,0.413,0.5873,0.5011,0.3504,0.6558,0.4994,0.3845,0.599,0.8245,0.011
mean,S1_3P,19,0.8275,0.4987,0.405,0.5875,0.4977,0.3524,0.648,0.4993,0.3879,0.6008,0.8245,0.003
mean,S1_3P,20,0.8385,0.4964,0.4012,0.5926,0.4969,0.3395,0.646,0.4996,0.388,0.6006,0.8245,0.014
mean,S1_3P,21,0.8555,0.4987,0.409,0.5906,0.5047,0.3485,0.6493,0.4987,0.3867,0.6008,0.8245,0.031
mean,S1_3P,22,0.851,0.4977,0.4064,0.5945,0.5045,0.3365,0.6593,0.4984,0.3874,0.5983,0.8245,0.0265
mean,S1_3P,23,0.851,0.4984,0.399,0.5925,0.5001,0.3472,0.6585,0.4979,0.3932,0.6,0.8245,0.0265
mean,S1_3P,24,0.842,0.4988,0.3994,0.6016,0.4975,0.3292,0.6543,0.4979,0.3895,0.5948,0.8245,0.0175
mean,S1_3P,25,0.8485,0.5026,0.4132,0.5948,0.4963,0.3387,0.6621,0.4976,0.3885,0.5928,0.8245,0.024
mean,S1_3P,26,0.8985,0.5026,0.4017,0.6018,0.496,0.3225,0.6747,0.4967,0.3907,0.6008,0.8245,0.074
mean,S1_3P,27,0.886,0.4996,0.4009,0.5965,0.5026,0.319,0.6871,0.4957,0.3872,0.5983,0.8245,0.0615
mean,S2_1P,emb,0.8715,0.4993,0.4192,0.5863,0.4967,0.3737,0.6151,0.5049,0.39,0.6158,0.8715,0.0
mean,S2_1P,0,0.8865,0.5013,0.3952,0.5985,0.4989,0.342,0.6543,0.5041,0.3879,0.6136,0.8715,0.015
mean,S2_1P,1,0.8655,0.5004,0.4122,0.5808,0.5031,0.4154,0.5986,0.5044,0.3913,0.605,0.8715,-0.006
mean,S2_1P,2,0.862,0.4989,0.4167,0.582,0.4999,0.4365,0.5729,0.5045,0.3844,0.6065,0.8715,-0.0095
mean,S2_1P,3,0.8815,0.5019,0.4077,0.5915,0.5022,0.432,0.565,0.503,0.3885,0.6078,0.8715,0.01
mean,S2_1P,4,0.8855,0.5031,0.4152,0.5945,0.501,0.4235,0.5776,0.503,0.3807,0.6078,0.8715,0.014
mean,S2_1P,5,0.8875,0.4965,0.417,0.5838,0.499,0.4204,0.5721,0.5031,0.3815,0.6035,0.8715,0.016
mean,S2_1P,6,0.8825,0.4979,0.4145,0.591,0.5009,0.4375,0.5908,0.5027,0.384,0.6091,0.8715,0.011
mean,S2_1P,7,0.878,0.5,0.411,0.5865,0.4994,0.4242,0.5784,0.5024,0.3832,0.6113,0.8715,0.0065
mean,S2_1P,8,0.883,0.4975,0.4122,0.5863,0.5032,0.4192,0.5916,0.5027,0.3779,0.6113,0.8715,0.0115
mean,S2_1P,9,0.879,0.5016,0.41,0.591,0.4981,0.4024,0.5821,0.5016,0.3782,0.6065,0.8715,0.0075
mean,S2_1P,10,0.8945,0.4983,0.406,0.593,0.5028,0.3895,0.6314,0.5011,0.3777,0.611,0.8715,0.023
mean,S2_1P,11,0.893,0.497,0.4115,0.5868,0.4992,0.3897,0.5884,0.5006,0.3839,0.6111,0.8715,0.0215
mean,S2_1P,12,0.888,0.4978,0.4027,0.5958,0.5007,0.3952,0.6055,0.5,0.3797,0.6128,0.8715,0.0165
mean,S2_1P,13,0.883,0.4969,0.4082,0.5923,0.4997,0.3935,0.601,0.4991,0.3784,0.6073,0.8715,0.0115
mean,S2_1P,14,0.887,0.4985,0.4019,0.592,0.4994,0.3927,0.602,0.4991,0.382,0.6128,0.8715,0.0155
mean,S2_1P,15,0.8915,0.501,0.4082,0.5804,0.503,0.4101,0.6172,0.4983,0.3736,0.6093,0.8715,0.02
mean,S2_1P,16,0.8915,0.501,0.4065,0.5963,0.5018,0.3962,0.605,0.4974,0.3725,0.6108,0.8715,0.02
mean,S2_1P,17,0.8845,0.4969,0.4097,0.5923,0.4998,0.3735,0.5993,0.4973,0.3742,0.61,0.8715,0.013
mean,S2_1P,18,0.8825,0.4991,0.3982,0.5933,0.501,0.3847,0.6228,0.4978,0.3697,0.6068,0.8715,0.011
mean,S2_1P,19,0.887,0.5024,0.412,0.594,0.4972,0.369,0.6121,0.498,0.3745,0.609,0.8715,0.0155
