item,arm,layer,readout,value
fact04,enact,9,random5,0.0
fact04,report,9,random5,0.0
fact04,exit,9,random5,0.0
fact04,true,9,random5,0.0
fact04,neutral,9,random5,0.0
fact04,enact_norecord,9,random5,0.0
fact05,enact,9,random5,0.0
fact05,report,9,random5,0.0
fact05,exit,9,random5,0.0
fact05,true,9,random5,0.0
fact05,neutral,9,random5,0.0
fact05,enact_norecord,9,random5,0.0
fact06,enact,9,random5,0.0
fact06,report,9,random5,0.0
fact06,exit,9,random5,0.0
fact06,true,9,random5,0.0
fact06,neutral,9,random5,0.0
fact06,enact_norecord,9,random5,0.0
refusal01,enact,9,random5,0.0
refusal01,report,9,random5,0.0
refusal01,exit,9,random5,0.0
refusal01,true,9,random5,0.0
refusal01,neutral,9,random5,0.0
refusal01,enact_norecord,9,random5,0.0
refusal02,enact,9,random5,0.0
refusal02,report,9,random5,0.0
refusal02,exit,9,random5,0.0
refusal02,true,9,random5,0.0
refusal02,neutral,9,random5,0.0
refusal02,enact_norecord,9,random5,0.0
refusal03,enact,9,random5,0.0
refusal03,report,9,random5,0.0
refusal03,exit,9,random5,0.0
refusal03,true,9,random5,0.0
refusal03,neutral,9,random5,0.0
refusal03,enact_norecord,9,random5,0.0
refusal04,enact,9,random5,0.0
refusal04,report,9,random5,0.0
refusal04,exit,9,random5,0.0
refusal04,true,9,random5,0.0
refusal04,neutral,9,random5,0.0
refusal04,enact_norecord,9,random5,0.0
refusal05,enact,9,random5,0.0
refusal05,report,9,random5,0.0
refusal05,exit,9,random5,0.0
refusal05,true,9,random5,0.0
refusal05,neutral,9,random5,0.0
refusal05,enact_norecord,9,random5,0.0
refusal06,enact,9,random5,0.0
refusal06,report,9,random5,0.0
refusal06,exit,9,random5,0.0
refusal06,true,9,random5,0.0
refusal06,neutral,9,random5,0.0
refusal06,enact_norecord,9,random5,0.0
stance01,enact,9,random5,0.0
stance01,report,9,random5,0.0
stance01,exit,9,random5,0.0
stance01,true,9,random5,0.0
stance01,neutral,9,random5,0.0
stance01,enact_norecord,9,random5,0.0
stance02,enact,9,random5,0.0
stance02,report,9,random5,0.0
stance02,exit,9,random5,0.0
stance02,true,9,random5,0.0
stance02,neutral,9,random5,0.0
stance02,enact_norecord,9,random5,0.0
stance03,enact,9,random5,0.0
stance03,report,9,random5,0.0
stance03,exit,9,random5,0.0
stance03,true,9,random5,0.0
stance03,neutral,9,random5,0.0
stance03,enact_norecord,9,random5,0.0
stance04,enact,9,random5,0.0
stance04,report,9,random5,0.0
stance04,exit,9,random5,0.0
stance04,true,9,random5,0.0
stance04,neutral,9,random5,0.0
stance04,enact_norecord,9,random5,0.0
stance05,enact,9,random5,0.0
stance05,report,9,random5,0.0
stance05,exit,9,random5,0.0
stance05,true,9,random5,0.0
stance05,neutral,9,random5,0.0
stance05,enact_norecord,9,random5,0.0
stance06,enact,9,random5,0.0
stance06,report,9,random5,0.0
stance06,exit,9,random5,0.0
stance06,true,9,random5,0.0
stance06,neutral,9,random5,0.0
stance06,enact_norecord,9,random5,0.0
limit01,enact,9,random5,0.0
limit01,report,9,random5,0.0
limit01,exit,9,random5,0.0
limit01,true,9,random5,0.0
limit01,neutral,9,random5,0.0
limit01,enact_norecord,9,random5,0.0
limit02,enact,9,random5,0.0
limit02,report,9,random5,0.0
limit02,exit,9,random5,0.0
limit02,true,9,random5,0.0
limit02,neutral,9,random5,0.0
limit02,enact_norecord,9,random5,0.0
limit03,enact,9,random5,0.0
limit03,report,9,random5,0.0
limit03,exit,9,random5,0.0
limit03,true,9,random5,0.0
limit03,neutral,9,random5,0.0
limit03,enact_norecord,9,random5,0.0
limit04,enact,9,random5,0.0
limit04,report,9,random5,0.0
limit04,exit,9,random5,0.0
limit04,true,9,random5,0.0
limit04,neutral,9,random5,0.0
limit04,enact_norecord,9,random5,0.0
limit05,enact,9,random5,0.0
limit05,report,9,random5,0.0
limit05,exit,9,random5,0.0
limit05,true,9,random5,0.0
limit05,neutral,9,random5,0.0
limit05,enact_norecord,9,random5,0.0
limit06,enact,9,random5,0.0
limit06,report,9,random5,0.0
limit06,exit,9,random5,0.0
limit06,true,9,random5,0.0
limit06,neutral,9,random5,0.0
limit06,enact_norecord,9,random5,0.0
fact01,neutral_b,9,random5,0.0
fact02,neutral_b,9,random5,0.0
fact03,neutral_b,9,random5,0.0
fact04,neutral_b,9,random5,0.0
fact05,neutral_b,9,random5,0.0
fact06,neutral_b,9,random5,0.0
refusal01,neutral_b,9,random5,0.0
refusal02,neutral_b,9,random5,0.0
refusal03,neutral_b,9,random5,0.0
refusal04,neutral_b,9,random5,0.0
refusal05,neutral_b,9,random5,0.0
refusal06,neutral_b,9,random5,0.0
stance01,neutral_b,9,random5,0.0
stance02,neutral_b,9,random5,0.0
stance03,neutral_b,9,random5,0.0
stance04,neutral_b,9,random5,0.0
stance05,neutral_b,9,random5,0.0
stance06,neutral_b,9,random5,0.0
limit01,neutral_b,9,random5,0.0
limit02,neutral_b,9,random5,0.0
limit03,neutral_b,9,random5,0.0
limit04,neutral_b,9,random5,0.0
limit05,neutral_b,9,random5,0.0
limit06,neutral_b,9,random5,0.0
fact01,enact,20,top5,-24.74324607849121
fact01,report,20,top5,-22.662410736083984
fact01,exit,20,top5,-17.796005249023438
fact01,true,20,top5,-18.978384017944336
fact01,neutral,20,top5,-17.882959365844727
fact01,enact_norecord,20,top5,-37.473960876464844
fact02,enact,20,top5,-16.133852005004883
fact02,report,20,top5,-20.8507137298584
fact02,exit,20,top5,-13.272464752197266
fact02,true,20,top5,-20.272220611572266
fact02,neutral,20,top5,-18.357421875
fact02,enact_norecord,20,top5,-34.77531433105469
fact03,enact,20,top5,-29.071504592895508
fact03,report,20,top5,-28.0684814453125
fact03,exit,20,top5,-20.40941047668457
fact03,true,20,top5,-23.625938415527344
fact03,neutral,20,top5,-23.627168655395508
fact03,enact_norecord,20,top5,-43.82874298095703
fact04,enact,20,top5,-24.763473510742188
fact04,report,20,top5,-23.705036163330078
fact04,exit,20,top5,-19.079627990722656
fact04,true,20,top5,-22.739505767822266
fact04,neutral,20,top5,-23.937175750732422
fact04,enact_norecord,20,top5,-36.39619064331055
fact05,enact,20,top5,-18.361181259155273
